FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_DOM;DESECH_TN_PERSONA;PERIODO
9/01/2023;1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;28423;27548;875;4857.50;0.17;2014
9/01/2023;2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;291;151;140;33.56;0.12;2014
9/01/2023;3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1615;299;1316;48.96;0.03;2014
9/01/2023;4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;597;388;209;63.59;0.11;2014
9/01/2023;5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;737;197;540;32.38;0.04;2014
9/01/2023;6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2096;630;1466;103.25;0.05;2014
9/01/2023;7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;395;133;262;29.46;0.07;2014
9/01/2023;8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1240;1231;9;201.84;0.16;2014
9/01/2023;9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5551;2442;3109;542.65;0.10;2014
9/01/2023;10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4200;1991;2209;442.34;0.11;2014
9/01/2023;11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;893;458;435;75.16;0.08;2014
9/01/2023;12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;815;643;172;142.82;0.18;2014
9/01/2023;13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1034;498;536;110.62;0.11;2014
9/01/2023;14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2737;720;2017;147.94;0.05;2014
9/01/2023;15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;608;545;63;121.03;0.20;2014
9/01/2023;16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;365;107;258;23.76;0.07;2014
9/01/2023;17;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;865;132;733;29.43;0.03;2014
9/01/2023;18;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;347;262;85;58.21;0.17;2014
9/01/2023;19;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;712;491;221;109.09;0.15;2014
9/01/2023;20;10120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1346;284;1062;63.08;0.05;2014
9/01/2023;21;10121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;224;100;124;22.27;0.10;2014
9/01/2023;22;10201;SELVA;AMAZONAS;BAGUA;BAGUA ;26017;23083;2934;4099.31;0.16;2014
9/01/2023;23;10202;SELVA;AMAZONAS;BAGUA;ARAMANGO;11221;2606;8615;551.62;0.05;2014
9/01/2023;24;10203;SELVA;AMAZONAS;BAGUA;COPALLIN;6389;1933;4456;429.47;0.07;2014
9/01/2023;25;10204;SELVA;AMAZONAS;BAGUA;EL PARCO;1466;749;717;166.46;0.11;2014
9/01/2023;26;10205;SELVA;AMAZONAS;BAGUA;IMAZA;24029;3140;20889;697.83;0.03;2014
9/01/2023;27;10206;SELVA;AMAZONAS;BAGUA;LA PECA ;8013;4549;3464;747.16;0.09;2014
9/01/2023;28;10301;SELVA;AMAZONAS;BONGARA;JUMBILLA;1744;1539;205;410.19;0.24;2014
9/01/2023;29;10302;SELVA;AMAZONAS;BONGARA;CHISQUILLA;341;138;203;30.66;0.09;2014
9/01/2023;30;10303;SELVA;AMAZONAS;BONGARA;CHURUJA;273;249;24;55.31;0.20;2014
9/01/2023;31;10304;SELVA;AMAZONAS;BONGARA;COROSHA;990;139;851;30.90;0.03;2014
9/01/2023;32;10305;SELVA;AMAZONAS;BONGARA;CUISPES;891;415;476;92.16;0.10;2014
9/01/2023;33;10306;SELVA;AMAZONAS;BONGARA;FLORIDA;8257;4755;3502;971.96;0.12;2014
9/01/2023;34;10307;SELVA;AMAZONAS;BONGARA;JAZAN;9253;7585;1668;1273.52;0.14;2014
9/01/2023;35;10308;SELVA;AMAZONAS;BONGARA;RECTA;211;73;138;16.24;0.08;2014
9/01/2023;36;10309;SELVA;AMAZONAS;BONGARA;SAN CARLOS;327;263;64;58.41;0.18;2014
9/01/2023;37;10310;SELVA;AMAZONAS;BONGARA;SHIPASBAMBA;1744;1018;726;226.21;0.13;2014
9/01/2023;38;10311;SELVA;AMAZONAS;BONGARA;VALERA;1295;437;858;97.14;0.08;2014
9/01/2023;39;10312;SELVA;AMAZONAS;BONGARA;YAMBRASBAMBA;8070;2983;5087;662.93;0.08;2014
9/01/2023;40;10401;SELVA;AMAZONAS;CONDORCANQUI;NIEVA ;28116;4147;23969;892.99;0.03;2014
9/01/2023;41;10402;SELVA;AMAZONAS;CONDORCANQUI;EL CENEPA ;9513;1216;8297;270.16;0.03;2014
9/01/2023;42;10403;SELVA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;16282;2709;13573;601.86;0.04;2014
9/01/2023;43;10501;SIERRA;AMAZONAS;LUYA;LAMUD;2330;2020;310;486.51;0.21;2014
9/01/2023;44;10502;SELVA;AMAZONAS;LUYA;CAMPORREDONDO;7006;4431;2575;984.66;0.14;2014
9/01/2023;45;10503;SELVA;AMAZONAS;LUYA;COCABAMBA;2492;359;2133;79.85;0.03;2014
9/01/2023;46;10504;SIERRA;AMAZONAS;LUYA;COLCAMAR;2326;1354;972;222.02;0.10;2014
9/01/2023;47;10505;SELVA;AMAZONAS;LUYA;CONILA;2102;1233;869;274.09;0.13;2014
9/01/2023;48;10506;SIERRA;AMAZONAS;LUYA;INGUILPATA;622;367;255;60.26;0.10;2014
9/01/2023;49;10507;SELVA;AMAZONAS;LUYA;LONGUITA;1132;237;895;52.65;0.05;2014
9/01/2023;50;10508;SIERRA;AMAZONAS;LUYA;LONYA CHICO;997;327;670;53.67;0.05;2014
9/01/2023;51;10509;SIERRA;AMAZONAS;LUYA;LUYA;4422;2319;2103;482.48;0.11;2014
9/01/2023;52;10510;SIERRA;AMAZONAS;LUYA;LUYA VIEJO;479;479;0;78.55;0.16;2014
9/01/2023;53;10511;SELVA;AMAZONAS;LUYA;MARIA;938;502;436;111.65;0.12;2014
9/01/2023;54;10512;SELVA;AMAZONAS;LUYA;OCALLI;4180;1589;2591;353.12;0.08;2014
9/01/2023;55;10513;SELVA;AMAZONAS;LUYA;OCUMAL;4163;691;3472;153.65;0.04;2014
9/01/2023;56;10514;SIERRA;AMAZONAS;LUYA;PISUQUIA;6065;274;5791;44.86;0.01;2014
9/01/2023;57;10515;SIERRA;AMAZONAS;LUYA;PROVIDENCIA;1539;282;1257;46.19;0.03;2014
9/01/2023;58;10516;SIERRA;AMAZONAS;LUYA;SAN CRISTOBAL;700;493;207;80.86;0.12;2014
9/01/2023;59;10517;SIERRA;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;826;386;440;63.37;0.08;2014
9/01/2023;60;10518;SIERRA;AMAZONAS;LUYA;SAN JERONIMO;909;350;559;57.46;0.06;2014
9/01/2023;61;10519;SELVA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;524;78;446;17.27;0.03;2014
9/01/2023;62;10520;SIERRA;AMAZONAS;LUYA;SANTA CATALINA;1888;470;1418;77.13;0.04;2014
9/01/2023;63;10521;SELVA;AMAZONAS;LUYA;SANTO TOMAS;3619;1091;2528;242.35;0.07;2014
9/01/2023;64;10522;SIERRA;AMAZONAS;LUYA;TINGO;1352;703;649;115.25;0.09;2014
9/01/2023;65;10523;SIERRA;AMAZONAS;LUYA;TRITA;1378;824;554;135.06;0.10;2014
9/01/2023;66;10601;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;5255;3646;1609;810.18;0.15;2014
9/01/2023;67;10602;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;2048;117;1931;25.94;0.01;2014
9/01/2023;68;10603;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;519;412;107;91.63;0.18;2014
9/01/2023;69;10604;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2711;582;2129;129.31;0.05;2014
9/01/2023;70;10605;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2999;648;2351;143.98;0.05;2014
9/01/2023;71;10606;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1667;913;754;202.92;0.12;2014
9/01/2023;72;10607;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;1417;879;538;195.32;0.14;2014
9/01/2023;73;10608;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;622;358;264;79.51;0.13;2014
9/01/2023;74;10609;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;9364;802;8562;178.19;0.02;2014
9/01/2023;75;10610;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;480;135;345;30.02;0.06;2014
9/01/2023;76;10611;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;462;125;337;27.87;0.06;2014
9/01/2023;77;10612;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;3342;709;2633;157.63;0.05;2014
9/01/2023;78;10701;SIERRA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;53335;33246;20089;6830.54;0.13;2014
9/01/2023;79;10702;SELVA;AMAZONAS;UTCUBAMBA;CAJARURO ;28523;8730;19793;1939.93;0.07;2014
9/01/2023;80;10703;SIERRA;AMAZONAS;UTCUBAMBA;CUMBA;8955;2719;6236;555.78;0.06;2014
9/01/2023;81;10704;SIERRA;AMAZONAS;UTCUBAMBA;EL MILAGRO;6376;1696;4680;278.08;0.04;2014
9/01/2023;82;10705;SIERRA;AMAZONAS;UTCUBAMBA;JAMALCA;8216;1506;6710;247.03;0.03;2014
9/01/2023;83;10706;SELVA;AMAZONAS;UTCUBAMBA;LONYA GRANDE;10374;3409;6965;757.49;0.07;2014
9/01/2023;84;10707;SIERRA;AMAZONAS;UTCUBAMBA;YAMON;2935;559;2376;91.74;0.03;2014
9/01/2023;85;20101;SIERRA;ANCASH;HUARAZ;HUARAZ;63327;56780;6547;11398.52;0.18;2014
9/01/2023;86;20102;SIERRA;ANCASH;HUARAZ;COCHABAMBA;2006;461;1545;75.53;0.04;2014
9/01/2023;87;20103;SIERRA;ANCASH;HUARAZ;COLCABAMBA;783;430;353;70.59;0.09;2014
